title,price,mrp,discount_percentage,link
Dyazo 13.3 Inch Laptop Hard Shell Case Cover | Shockproof Protector for 2018 2019 2020 Models MacBook Air Cover | Compatib...,469,1999,76.54,https://www.amazon.in/dp/B0DTHY9WRN
"Apple 2024 MacBook Air 15″ Laptop with M3 chip: 38.91 cm (15.3″) Liquid Retina Display, 24GB Unified Memory, 512GB SSD Sto...",167990,174900,3.95,https://www.amazon.in/dp/B0DLHFW1GX
"Apple 2025 MacBook Air (15-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 24GB Unified Memory, 512GB) - Silver",159990,164900,2.98,https://www.amazon.in/dp/B0DZDQR47H
"Apple 2025 MacBook Air (15-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 24GB Unified Memory, 512GB) - Starlight",159990,164900,2.98,https://www.amazon.in/dp/B0DZDVCYN2
"Sponsored Ad - ASUS Zenbook A14 OLED (2025),Qualcomm Snapdragon X, Copilot+PC, 0.9kg Light-Weight, 14""""(35.6 cm),32hrs Bat...",83990,122990,31.71,https://www.amazon.in/dp/B0DTYHT8MN
"Sponsored Ad - ASUS Vivobook 16, Snapdragon X, 16GB RAM, 512GB SSD, FHD+ 16"", Windows 11, Office Home 2024, Cool Silver, ...",52990,84990,37.65,https://www.amazon.in/dp/B0DX1TJXRD
"Apple 2024 MacBook Pro Laptop with M4 Max chip with 14‑core CPU and 32‑core GPU: Built for Apple Intelligence, (14.2″) Liq...",309990,319900,3.1,https://www.amazon.in/dp/B0DLHGCB3C
"Apple 2025 MacBook Air (15-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 16GB Unified Memory, 256GB) - Silver",120990,124900,3.13,https://www.amazon.in/dp/B0DZDDL8M6
"Apple 2024 MacBook Air 15″ Laptop with M3 chip: 38.91 cm (15.3″) Liquid Retina Display, 16GB Unified Memory, 256GB SSD Sto...",127990,134900,5.12,https://www.amazon.in/dp/B0DLHY232V
"Apple 2024 MacBook Pro Laptop with M4 chip with 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, (14.2″) Liquid ...",201990,209900,3.77,https://www.amazon.in/dp/B0DLJ82ZMT
"Apple 2024 MacBook Air 15″ Laptop with M3 chip: 38.91 cm (15.3″) Liquid Retina Display, 16GB Unified Memory, 512GB SSD Sto...",144990,174900,17.1,https://www.amazon.in/dp/B0CX22LYY9
"Apple 2024 MacBook Air 15″ Laptop with M3 chip: 38.91 cm (15.3″) Liquid Retina Display, 16GB Unified Memory, 256GB SSD Sto...",107623,134900,20.22,https://www.amazon.in/dp/B0DLHG942M
"Apple 2024 MacBook Air (13-inch, Apple M3 chip with 8‑core CPU and 10‑core GPU, 24GB Unified Memory, 512GB) - Midnight",124990,154900,19.31,https://www.amazon.in/dp/B0DLHFS9L6
"Apple 2024 MacBook Air 13″ Laptop with M3 chip: 34.46 cm (13.6″) Liquid Retina Display, 16GB Unified Memory, 512GB SSD Sto...",127990,154900,17.37,https://www.amazon.in/dp/B0CX23FSQL
