title,price,mrp,discount_percentage,link
Sponsored Ad - Fujifilm X Half 17.7MP 1 inch CMOS Sensor with 10.8mm f/2.8-11 Lens|Retro Style mirrorless Compact Travel C...,66499,76999,13.64,https://www.amazon.in/dp/B0FB9HZ7S4
"Eye4Spy 1080P USB Charger Mini Camera – Motion Detection, Loop Recording, No Wi-Fi, SD Card Storage - Support Up to 256GB ...",999,2499,60.02,https://www.amazon.in/dp/B0FB9LQ195
"DJI Osmo Action 4 Standard Combo - 4K/120Fps Waterproof Action Digital Camera with A 1/1.3-Inch Sensor, 10-Bit & D-Log M C...",21990,44990,51.12,https://www.amazon.in/dp/B0C783YNW7
DEATTI4K 30FPS Action Camera Ultra HD Underwater Camera 170 Degree Wide Angle 98FT Waterproof Camera (DECM51),1699,5999,71.68,https://www.amazon.in/dp/B0FHJNL184
Sony Alpha ILCE-7RM5 Full-Frame High Resolution 61 MP Camera|Artificial Intelligence for Human Pose Estimation|Real-time A...,282989,353990,20.06,https://www.amazon.in/dp/B0BYF71TLG
Video Camera Camcorder kimire Digital Camera Recorder Full HD 1080P 15FPS 24MP 3.0 Inch 270 Degree Rotation LCD 16X Digita...,5999,12999,53.85,https://www.amazon.in/dp/B08K7HFMX4
Sony Alpha ILCE-7M4K Full-Frame Hybrid Camera 33MP Interchangeable-Lens Mirrorless Camera with 28-70mm Digital Zoom Lens |...,196990,262490,24.95,https://www.amazon.in/dp/B09SB2P8J5
Fujifilm Instax Mini 11 Instant Camera (Sky Blue),5990,7999,25.12,https://www.amazon.in/dp/B08527W1MF
TOYTONIC Small Camera for Kids – Mini Digital Photo & Video Camcorder with Built-in Games – Fun & Learning Camera for Chil...,549,999,45.05,https://www.amazon.in/dp/B0FG2GCGHX
"Sponsored Ad - Digital Camera 44MP 1080P FHD with 16X Zoom, Anti-Shake, Beauty Filter, 32GB Card & 2 Batteries – Compact P...",4899,9999,51.01,https://www.amazon.in/dp/B0FFBJHQR9
"Sponsored Ad - VJIANGER 4K Digital Camera For Photography, 64MP, 18X Digital Zoom Point And Shoot Vlogging Camera with 32G...",7999,14999,46.67,https://www.amazon.in/dp/B0BQRVCGHC
Sponsored Ad - Qubo Smart Outdoor Bullet + 360° Indoor CCTV Camera by Hero Group| 3MP 2K Resolution| WiFi |AI Person Detec...,4690,11980,60.85,https://www.amazon.in/dp/B0F94H1YMW
"Sponsored Ad - Maizic Smarthome Wi-Fi Tricam White ISCEE APP FHD 3in1 3 Lens/3 Screen View CCTV Outdoor Camera, Complete C...",3464,8399,58.76,https://www.amazon.in/dp/B0DWMTYYHL
Mini Wi-Fi Full HD 720P-1080P Wireless Magnet Camera Motion Camera Audio and Video Live with Wireless Recorded Magnet Cam ...,754,1999,62.28,https://www.amazon.in/dp/B0DWSNXVX9
Tapo 4MP 2K QHD (2560X1440) Outdoor CCTV Security Wi-Fi Smart Camera -Alexa Enabled -Weatherproof -Full Color Starlight Ni...,3099,8199,62.2,https://www.amazon.in/dp/B098TVZ6TS
