title,price,mrp,discount_percentage,link
"Dell Inspiron 15 3535, Windows 11 Home AMD Ryzen 5 7520U, 8GB RAM, 512GB SSD, FHD, 15.6""/39.62cm, Carbon Black, 1.67KG, Id...",33990,49395,31.19,https://www.amazon.in/dp/B0D83G8R99
"Dell DB14255, AMD R7-350 AI Processor, 16GB LPDDR5X RAM, 1TBSSD, FHD Plus 14""/35.56cm, Win 11+Office H&S 2024, Ice Blue, ...",71990,98623,27.0,https://www.amazon.in/dp/B0FJXCDSX2
"Dell New Inspiron 13 Laptop with AI Enabled Intel Core Ultra 5 125H Processor,16GB LPDDR5X,512GB SSD,13.3"" (33.78cm) QHD+ ...",87410,97934,10.75,https://www.amazon.in/dp/B0DSFSC1QX
"Dell New Inspiron 13 Laptop with AI Enabled Intel Core Ultra 7 155H Processor, 16GB LPDDR5X, 1TB SSD, 13.3"" (33.78cm) QHD+...",99590,116180,14.28,https://www.amazon.in/dp/B0DSFRYXDG
"New Dell 15 Laptop, 14th Gen Intel Core 3 Processor, 8GB, 512GB,Intel UHD Graphics Graphics, 15.6"" FHD 120Hz IPS 250 nit D...",36990,52683,29.79,https://www.amazon.in/dp/B0FKNPGFN8
"Sponsored Ad - HP 15, AMD Ryzen 3 7320U (8GB LPDDR5, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6""/39.6cm, Win 11, Office ...",30989,48419,36.0,https://www.amazon.in/dp/B0D3HG5CMG
"Sponsored Ad - HP 15, 13th Gen Intel Core i5-1334U (16GB DDR4, 512GB SSD) Anti-Glare, Micro-Edge, 15.6''/39.6cm, FHD, Win ...",48990,73920,33.73,https://www.amazon.in/dp/B0DTK9DZB4
"Sponsored Ad - Dell DB14255, R5-340 AI Processor, 16GB LPDDR5X, 512GB SSD, FHD Plus 14""/35.56 cm, Win11+MSO 2024, Ice Blu...",65990,87832,24.87,https://www.amazon.in/dp/B07L7THGDV
DELL 15 (2025) Intel Core i5 13th Gen 1335U - (16 GB DDR5/512 GB SSD/Intel Iris Xe Graphics/Windows 11 Pro) Thin and Light...,61511,74990,17.97,https://www.amazon.in/dp/B0FGK3DTFH
"Dell JDCXX,K257C 1 Port 240V 3 Pin Power Chord for Laptops - Black",210,499,57.92,https://www.amazon.in/dp/B01GTQ93ZQ
"Dell Alienware x16, Intel Core Ultra 9-185H, NVIDIA RTX 4080-12GB, 32 GB RAM, 1 TB SSD, QHD+ 16""/40.64 cm, 240Hz, Windows ...",394990,497110,20.54,https://www.amazon.in/dp/B0DPM9RD1H
"Dell Alienware m16 R1 Gaming Laptop, Intel i7-13650HX/16GB/512GB/16 (40.64cm) QHD+ 165Hz, 100% sRGB/NVIDIA RTX 4050, 6 GB ...",119990,189990,36.84,https://www.amazon.in/dp/B0C9F5MKS7
"Dell 15, Intel Core i5 13th Gen - 1334U, 8GB DDR4 RAM, 512GB SSD, FHD 15.6""/39.62 cm, Windows 11, MSO'21, Carbon Black, 1....",44990,62336,27.83,https://www.amazon.in/dp/B0D46P4V5V
"EDNITA Mini Laptop Stand for Desk | Portable Metal PC Desk Stand, Aluminium Cooling Pad Mini Clip Compatible with MacBook ...",163,999,83.68,https://www.amazon.in/dp/B0D7Z944C7
"Dell Alienware X16 R1 Gaming Laptop, Intel Core i9-13900HK, 32GB RAM, 1TB SSD, NVIDIA RTX 4080 12GB GDDR6, 16.0"" QHD 240H...",297191,,,https://www.amazon.in/dp/B0DJKPRRW3
"Dell Inspiron 3530 Laptop, 13th Gen Intel Core i5-1334U Processor, 8GB, 512GB SSD, 15.6"" (39.62cm) FHD Display, Backlit Ke...",48375,65900,26.59,https://www.amazon.in/dp/B0F8BM2CNN
"Dell Inspiron 14 Laptop, Intel Core i3-1305U Processor, 8GB, 512GB, Intel® UHD Graphics, 14"" (36.06cm) FHD+ 300nits Displa...",39250,49636,20.92,https://www.amazon.in/dp/B0FFHGGBQV
DELL 15 (2025) Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business...,36150,84990,57.47,https://www.amazon.in/dp/B0FCMYSMLW
"Dell XPS 9730 Laptop, Intel Core i7-13700H Processor/32GB DDR5/1TB SSD/NVIDIA RTX 4060 8GB GDDR6/17.0"" (43.18cm) UHD+ AR T...",304120,388462,21.71,https://www.amazon.in/dp/B0CBKVJRHY
DELL 14 (2025) Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business...,,,,https://www.amazon.in/dp/B0D58LMNY1
"Dell XPS 14 9440 Thin & Light Laptop, AI Enabled Processor Intel Core Ultra 7 155H, 16GB + 1TB SSD, 14.5"" (36.83cm) 3.2K O...",203870,233163,12.56,https://www.amazon.in/dp/B0DSFRV9YM
"Alienware 16 Aurora, Intel Core 7-240H, NVIDIA RTX 5060-8GB GDDR7, 16GB DDR5 RAM, 1TB SSD, WQXGA 16""/40.64 cm, 2560x1600, ...",129990,161644,19.58,https://www.amazon.in/dp/B07H3LJ1XW
"Dell XPS 9720 Laptop,Intel i9-12900HK, 32GB DDR4 & 1TB SSD,Win 11 + MSO'21, NVIDIA RTX 3060 (6GB GDDR6),17.0"" (43.9Cms) UH...",331490,420849,21.23,https://www.amazon.in/dp/B0B46B848V
"Sponsored Ad - Lenovo Smartchoice LOQ AMD Ryzen 7 7435HS, NVIDIA RTX 4050-6GB, 24GB RAM, 512GB SSD, 15.6""/39.6cm, Windows ...",82190,110890,25.88,https://www.amazon.in/dp/B0DPQHCKQD
"Sponsored Ad - ASUS Zenbook A14 OLED (2025),Qualcomm Snapdragon X, Copilot+PC, 0.9kg Light-Weight, 14""""(35.6 cm),32hrs Bat...",83990,122990,31.71,https://www.amazon.in/dp/B0DTYHT8MN
"Sponsored Ad - ASUS Vivobook 16, Snapdragon X, 16GB RAM, 512GB SSD, FHD+ 16"", Windows 11, Office Home 2024, Cool Silver, ...",52990,84990,37.65,https://www.amazon.in/dp/B0DX1TJXRD
DELL 15 (2025) Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Busines...,36490,98760,63.05,https://www.amazon.in/dp/B0CWDZ998G
"Dell Inspiron 5440, Intel Core i5-1334U, 13th Gen, 16GB DDR5, 1TB SSD, FHD+AG NonTouch WVA, 14""/35.56cm, Windows 11, MS Of...",70111,114990,39.03,https://www.amazon.in/dp/B0DN6DBL7Z
