title,price,mrp,discount_percentage,link
Marshall Major IV Wireless Bluetooth On Ear Headphone with Mic (Black),8999,14999,40.0,https://www.amazon.in/dp/B08KHT2HDT
"JBL Tune 510BT, On Ear Wireless Headphones with Mic, up to 40 Hours Playtime, Pure Bass, Quick Charging, Dual Pairing, Blu...",1994,4449,55.18,https://www.amazon.in/dp/B08QTYYNDN
"Sony IER-EX15C Wired in Ear Type C Headphones, in-Line Remote for Volume & Mute Function with Mic, Tangle Free Serration W...",1790,2490,28.11,https://www.amazon.in/dp/B0FLY6118J
"boAt New Launch Rockerz 650 Pro, Touch/Swipe Controls, Dolby Audio, 80Hrs Battery, 2Mics ENx, Fast Charge, App Support, Du...",2299,8990,74.43,https://www.amazon.in/dp/B0DV5J28LW
"Sony MDR-EX155AP Wired in Ear Headphones with Tangle Free Cable, 3.5mm Jack, Headset with Mic for Phone Calls and 1 Year W...",219,1290,83.02,https://www.amazon.in/dp/B073HBMJV7
Sony MDR-EX14AP Wired in Ear Headphone with Mic (Black),549,1299,57.74,https://www.amazon.in/dp/B075Z25PQK
"Sony WI-C100 Wireless Headphones with Customizable Equalizer for Deep Bass & 25 Hrs Battery, DSEE-Upscale, Splash Proof, 3...",92,2790,96.7,https://www.amazon.in/dp/B09YKYJX7Y
"Sponsored Ad - Noise Airwave Max 5 Wireless Over-Ear Headphones with Adaptive Hybrid ANC (up to 50dB), HFA Tech, 80H Playt...",3999,5999,33.34,https://www.amazon.in/dp/B0DGV46CN1
"Sponsored Ad - Sennheiser ACCENTUM Wireless Special Edition-Over Ear Headphones with Hybrid ANC,50 Hr Battery & Free BTD 6...",10490,20990,50.02,https://www.amazon.in/dp/B0D3LGQ841
"Sony WF-1000XM5 Active Noise Cancelling Wireless Bluetooth in Ear Earbuds with Mic, Up to 36 Hours Battery Life - Black",19990,29990,33.34,https://www.amazon.in/dp/B0C33XXS56
"JBL Tune 770NC Wireless Over Ear ANC Headphones with Mic, Upto 70 Hrs Battery, Speed Charge : 5 min Charge Gives up to 3H ...",4998,9999,50.02,https://www.amazon.in/dp/B09CYX92NB
