title,price,link,mrp,discount_percentage
"Lava Storm Play 5G (Frosty Blue, 8+8*GB RAM, 256 GB Storage)|India's First MT D7060 Processor with 525k Antutu |50 MP AI C...","₹12,499",https://www.amazon.in/dp/B0FL7YZF3G,15449,19.1
"Samsung Galaxy A55 5G (Awesome Iceblue, 8GB RAM, 256GB Storage) | AI | Metal Frame | 50 MP Main Camera (OIS) | Super HDR V...","₹25,999",https://www.amazon.in/dp/B0CWPCFSM3,45999,43.48
Sponsored Ad - OnePlus Nord CE5 | Massive 7100mAh Battery | MediaTek Dimensity 8350 Apex | Powered by OnePlus AI | 8GB + 1...,"₹23,499",https://www.amazon.in/dp/B0FCMLCX46,24999,6.0
"Samsung Galaxy M06 5G (Blazing Black, 6GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | 12 5G Band...","₹8,999",https://www.amazon.in/dp/B0DX5R87P8,15499,41.94
"Samsung Galaxy M35 5G (DayBreak Blue,8GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+| Vapour Coo...","₹18,499",https://www.amazon.in/dp/B0D7Z8FJZ9,25999,28.85
"iQOO Neo 10 (Titanium Chrome, 16GB RAM, 512GB Storage) | Snapdragon 8s Gen 4 Processor & SuperComputing Chip Q1 | 7000 mAh...","₹38,998",https://www.amazon.in/dp/B0F83K513N,45999,15.22
"Redmi A4 5G (Starry Black, 4GB RAM, 64GB Storage) | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging | ...","₹7,499",https://www.amazon.in/dp/B0DLW1L5PR,10999,31.82
"Motorola G05 4G (Forest Green, 4GB RAM, 64GB Storage)",Prime Savings 10% on select bank cards,https://www.amazon.in/dp/B0DSTLPR3C,9999,99.9
"Redmi A4 5G (Starry Black, 4GB RAM, 128GB Storage) | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging |...","₹8,299",https://www.amazon.in/dp/B0DLW4QD72,11999,30.84
"Samsung Galaxy A55 5G (Awesome Iceblue, 12GB RAM, 256GB Storage) | AI | Metal Frame | 50 MP Main Camera (OIS) | Super HDR ...","₹28,999",https://www.amazon.in/dp/B0CWPDFBK7,48999,40.82
Sponsored Ad - Redmi 15 5G Sandy Purple 8GB + 256GB | Segment's Largest 7000mAhA Battery | Segment's Largest Display 17.53...,"₹16,998",https://www.amazon.in/dp/B0FJFRYXFK,19999,15.01
"Sponsored Ad - Redmi Note 14 5G (Mystique White, 8GB RAM 256GB Storage) | Global Debut MTK Dimensity 7025 Ultra | 2100 nit...",Prime Savings 10% on select bank cards,https://www.amazon.in/dp/B0DPFSJV2Z,24999,99.96
"Sponsored Ad - iQOO Z10 5G (Glacier Silver, 8GB RAM, 256GB Storage) | India's Biggest Ever 7300 mAh Battery | Snapdragon 7...","₹22,998",https://www.amazon.in/dp/B0F2HDFMFC,27999,17.86
"Sponsored Ad - Samsung Galaxy S24 Ultra 5G AI Smartphone with Galaxy AI (Titanium Gray, 12GB, 512GB Storage), Snapdragon 8...","₹1,04,999",https://www.amazon.in/dp/B0CQYGF1QY,144999,27.59
"realme NARZO 80 Lite 5G (Crystal Purple, 6GB+128GB) | 6000mAh Long-Lasting Battery | MediaTek Dimensity 6300 5G | AI Assis...","₹10,498",https://www.amazon.in/dp/B0F9TT7Z5Q,14999,30.01
"Samsung Galaxy A55 5G (Awesome Navy, 8GB RAM, 256GB Storage) | AI | Metal Frame | 50 MP Main Camera (OIS) | Super HDR Vide...","₹25,999",https://www.amazon.in/dp/B0CWPBBQ3M,45999,43.48
"Google Pixel 9A (Obsidian, 256 GB) (8 GB RAM)","₹42,998",https://www.amazon.in/dp/B0F6CY1S9Z,49999,14.0
"Samsung Galaxy A55 5G (Awesome Navy, 8GB RAM, 128GB Storage) | AI | Metal Frame | 50 MP Main Camera (OIS) | Super HDR Vide...","₹23,999",https://www.amazon.in/dp/B0CWPDH74H,42999,44.19
"Samsung Galaxy M16 5G (Blush Pink, 4GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | Super Amoled ...","₹10,499",https://www.amazon.in/dp/B0DX74KNC4,15999,34.38
"Samsung Galaxy A55 5G (Awesome Iceblue, 8GB RAM, 128GB Storage) | AI | Metal Frame | 50 MP Main Camera (OIS) | Super HDR V...","₹23,999",https://www.amazon.in/dp/B0CWPC2W5V,42999,44.19
"Nokia 105 Classic | Single SIM Keypad Phone with Built-in UPI Payments, Long-Lasting Battery, Wireless FM Radio | Without ...",₹949,https://www.amazon.in/dp/B0CJMJQ1QD,1249,24.02
Sponsored Ad - OnePlus Nord CE5 | Massive 7100mAh Battery | MediaTek Dimensity 8350 Apex | Powered by OnePlus AI | 8GB + 1...,"₹23,499",https://www.amazon.in/dp/B0FCMJT7R7,24999,6.0
