title,price,link
"Dell Inspiron 3535, Windows 11 Home, AMD Ryzen 3 7320U Processor, (8GB RAM/512GB SSD/Window 11/Ms Office' 21/15.6""(39.62 Cm) FHD Display/15 Month Mcafee/Carbon Black/1.67Kg Thin & Light Laptop","₹29,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NTk0MTE2MTAwNDkyMDgwOjE3NTg1MjI5ODI6c3BfbXRmOjMwMDcxMTU2MDI2MjkzMjo6MDo6&url=%2FDell-Inspiron-3535-Windows-Processor%2Fdp%2FB0DG5CY2Y2%2Fref%3Dsr_1_55_sspa%3Fdib%3DeyJ2IjoiMSJ9.hG70nKDqmHcP_eKRkFehZuD6BW3yJsX2Ib87v631MAB_Z4AHsGmp-dKBe2eewRf-nhTeYrSoEq-BN33tFpUjWJnGWkwtOZ4dNLV4WJYaFcfqp6ab8jN9yNq_uq_ZG3gRuaACmxfZszqXbrn8mHlC8utnWoEEZOHi4w0V3HihuKxhc8UUEnb6ogb74zN1IEVH.TN5-7C-eqMpcj24SNQjyyVe3kvNS2wYe0l4exkWmrcc%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1758522982%26sr%3D8-55-spons%26xpid%3DM_fdxAPTlbuYb%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=PfeFqqX5Fg&sp_cr=ZAZ
"HP 15, AMD Ryzen 3 7320U (8GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fc0500AU, FHD Camera w/Privacy Shutter Laptop","₹30,990",https://www.amazon.in/HP-Anti-Glare-Micro-Edge-Office24-fc0500AU/dp/B0FJYJ8LVY/ref=sr_1_56?dib=eyJ2IjoiMSJ9.hG70nKDqmHcP_eKRkFehZuD6BW3yJsX2Ib87v631MAB_Z4AHsGmp-dKBe2eewRf-nhTeYrSoEq-BN33tFpUjWJnGWkwtOZ4dNLV4WJYaFcfqp6ab8jN9yNq_uq_ZG3gRuaACmxfZszqXbrn8mHlC8utnWoEEZOHi4w0V3HihuKxhc8UUEnb6ogb74zN1IEVH.TN5-7C-eqMpcj24SNQjyyVe3kvNS2wYe0l4exkWmrcc&dib_tag=se&keywords=laptop&qid=1758522982&sr=8-56&xpid=M_fdxAPTlbuYb
"Acer Aspire Lite, AMD Ryzen 3 7330U Processor, 8 GB RAM, 512 GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.6KG, AL15-41, Metal Body, Premium Thin and Light Laptop","₹29,990",https://www.amazon.in/Acer-Smartchoice-Premium-Windows-AL15-41/dp/B0CWTSF1TK/ref=sr_1_57?dib=eyJ2IjoiMSJ9.hG70nKDqmHcP_eKRkFehZuD6BW3yJsX2Ib87v631MAB_Z4AHsGmp-dKBe2eewRf-nhTeYrSoEq-BN33tFpUjWJnGWkwtOZ4dNLV4WJYaFcfqp6ab8jN9yNq_uq_ZG3gRuaACmxfZszqXbrn8mHlC8utnWoEEZOHi4w0V3HihuKxhc8UUEnb6ogb74zN1IEVH.TN5-7C-eqMpcj24SNQjyyVe3kvNS2wYe0l4exkWmrcc&dib_tag=se&keywords=laptop&qid=1758522982&sr=8-57&xpid=M_fdxAPTlbuYb
"ASUS ROG Strix SCAR 18,Intel Core Ultra 9 275HX Gaming Laptop(NVIDIA RTX 5090-24GB/175W TGP/64GB/2TB/2.5K QHD+/18""/240Hz/Windows 11/M365 Basic(1Year)*/Office Home 2024/Off Black/3.30 Kg)G835LX-SA187WS","₹4,49,990",https://www.amazon.in/ASUS-Gaming-5090-24GB-Windows-G835LX-SA187WS/dp/B0F5BFQR4T/ref=sr_1_58?dib=eyJ2IjoiMSJ9.hG70nKDqmHcP_eKRkFehZuD6BW3yJsX2Ib87v631MAB_Z4AHsGmp-dKBe2eewRf-nhTeYrSoEq-BN33tFpUjWJnGWkwtOZ4dNLV4WJYaFcfqp6ab8jN9yNq_uq_ZG3gRuaACmxfZszqXbrn8mHlC8utnWoEEZOHi4w0V3HihuKxhc8UUEnb6ogb74zN1IEVH.TN5-7C-eqMpcj24SNQjyyVe3kvNS2wYe0l4exkWmrcc&dib_tag=se&keywords=laptop&qid=1758522982&sr=8-58&xpid=M_fdxAPTlbuYb
"Lenovo Tab Plus with Octa JBL Hi-Fi Speakers| 8 GB RAM, 128 GB ROM| 11.5 Inch, 2K, 90 Hz Refresh| Wi-Fi Tablet| Android 14| 45 W Fast Charger| Built-in Kickstand| Color: Luna Grey","₹13,999",https://www.amazon.in/Lenovo-Speakers-Refresh-Android-Kickstand/dp/B0D6G4CVZ7/ref=sr_1_59?dib=eyJ2IjoiMSJ9.hG70nKDqmHcP_eKRkFehZuD6BW3yJsX2Ib87v631MAB_Z4AHsGmp-dKBe2eewRf-nhTeYrSoEq-BN33tFpUjWJnGWkwtOZ4dNLV4WJYaFcfqp6ab8jN9yNq_uq_ZG3gRuaACmxfZszqXbrn8mHlC8utnWoEEZOHi4w0V3HihuKxhc8UUEnb6ogb74zN1IEVH.TN5-7C-eqMpcj24SNQjyyVe3kvNS2wYe0l4exkWmrcc&dib_tag=se&keywords=laptop&qid=1758522982&sr=8-59&xpid=M_fdxAPTlbuYb
"HP 15, AMD Ryzen 5 7520U, 16GB DDR5, 512GB SSD, (Win 11, Office 21, Silver, 1.59kg), Anti-Glare, Micro-Edge, 15.6-inch(39.6cm), FHD Laptop, AMD Radeon Graphics, 1080p FHD Camera, Backlit KB, fc0156AU","₹39,990",https://www.amazon.in/HP-RyzenTM-15-6-inch-Speakers-15s-fc0156AU/dp/B0CY2PLQ8N/ref=sr_1_60?dib=eyJ2IjoiMSJ9.hG70nKDqmHcP_eKRkFehZuD6BW3yJsX2Ib87v631MAB_Z4AHsGmp-dKBe2eewRf-nhTeYrSoEq-BN33tFpUjWJnGWkwtOZ4dNLV4WJYaFcfqp6ab8jN9yNq_uq_ZG3gRuaACmxfZszqXbrn8mHlC8utnWoEEZOHi4w0V3HihuKxhc8UUEnb6ogb74zN1IEVH.TN5-7C-eqMpcj24SNQjyyVe3kvNS2wYe0l4exkWmrcc&dib_tag=se&keywords=laptop&qid=1758522982&sr=8-60&xpid=M_fdxAPTlbuYb
"HP Smartchoice Victus, AMD Ryzen 7 7445HS, 6GB RTX 3050, 16GB DDR5(Upgradeable) 512GB SSD, FHD, 144Hz, 300 nits, 15.6''/39.6cm, Win 11, M365* Office24, Blue, 2.29kg, fb3134AX/3120ax, Gaming Laptop","₹66,990",https://www.amazon.in/HP-Upgrade-Office24-fb3134AX-fb3120ax/dp/B0FDKPXD95/ref=sr_1_61?dib=eyJ2IjoiMSJ9.hG70nKDqmHcP_eKRkFehZuD6BW3yJsX2Ib87v631MAB_Z4AHsGmp-dKBe2eewRf-nhTeYrSoEq-BN33tFpUjWJnGWkwtOZ4dNLV4WJYaFcfqp6ab8jN9yNq_uq_ZG3gRuaACmxfZszqXbrn8mHlC8utnWoEEZOHi4w0V3HihuKxhc8UUEnb6ogb74zN1IEVH.TN5-7C-eqMpcj24SNQjyyVe3kvNS2wYe0l4exkWmrcc&dib_tag=se&keywords=laptop&qid=1758522982&sr=8-61&xpid=M_fdxAPTlbuYb
"ASUS Vivobook 15, Intel Core i3-1315U, Thin & Light Laptop(Intel UHD iGPU/12GB RAM/512GB SSD/FHD/15.6""/60Hz/42Whrs/Windows 11/M365 Basic (1Year)*/Office Home 2024/Quiet Blue/1.7Kg) X1504VA-BQ332WS","₹33,990",https://www.amazon.in/ASUS-Vivobook-i3-1315U-Windows-X1504VA-BQ332WS/dp/B0FKBM4SWJ/ref=sr_1_62?dib=eyJ2IjoiMSJ9.hG70nKDqmHcP_eKRkFehZuD6BW3yJsX2Ib87v631MAB_Z4AHsGmp-dKBe2eewRf-nhTeYrSoEq-BN33tFpUjWJnGWkwtOZ4dNLV4WJYaFcfqp6ab8jN9yNq_uq_ZG3gRuaACmxfZszqXbrn8mHlC8utnWoEEZOHi4w0V3HihuKxhc8UUEnb6ogb74zN1IEVH.TN5-7C-eqMpcj24SNQjyyVe3kvNS2wYe0l4exkWmrcc&dib_tag=se&keywords=laptop&qid=1758522982&sr=8-62&xpid=M_fdxAPTlbuYb
"Dell Inspiron 3535, AMD Ryzen 5-7530U, 16GB RAM, 512GB SSD, FHD WVA IPS 15.6""/39.62 cm, Windows 11, MSO'24, Platinum Silver, 1.67kg, 120Hz, Standard Keyboard, 15 Month McAfee, Thin & Light Laptop","₹40,990",https://www.amazon.in/Dell-Inspiron-5-7530U-Windows-Platinum/dp/B0DSFRQTGB/ref=sr_1_63?dib=eyJ2IjoiMSJ9.hG70nKDqmHcP_eKRkFehZuD6BW3yJsX2Ib87v631MAB_Z4AHsGmp-dKBe2eewRf-nhTeYrSoEq-BN33tFpUjWJnGWkwtOZ4dNLV4WJYaFcfqp6ab8jN9yNq_uq_ZG3gRuaACmxfZszqXbrn8mHlC8utnWoEEZOHi4w0V3HihuKxhc8UUEnb6ogb74zN1IEVH.TN5-7C-eqMpcj24SNQjyyVe3kvNS2wYe0l4exkWmrcc&dib_tag=se&keywords=laptop&qid=1758522982&sr=8-63&xpid=M_fdxAPTlbuYb
"Lenovo IdeaPad Slim 3 14th Gen Intel Core 5 210H 15.3 inch (38.8cm) WUXGA IPS Laptop (24GB RAM/1TB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg), 83K4004VIN","₹59,985",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NTk0MTE2MTAwNDkyMDgwOjE3NTg1MjI5ODI6c3BfYnRmOjMwMDcyMjIyNDY1ODAzMjo6MDo6&url=%2FLenovo-IdeaPad-Windows-Keyboard-83K4004VIN%2Fdp%2FB0FCY77RJZ%2Fref%3Dsr_1_64_sspa%3Fdib%3DeyJ2IjoiMSJ9.hG70nKDqmHcP_eKRkFehZuD6BW3yJsX2Ib87v631MAB_Z4AHsGmp-dKBe2eewRf-nhTeYrSoEq-BN33tFpUjWJnGWkwtOZ4dNLV4WJYaFcfqp6ab8jN9yNq_uq_ZG3gRuaACmxfZszqXbrn8mHlC8utnWoEEZOHi4w0V3HihuKxhc8UUEnb6ogb74zN1IEVH.TN5-7C-eqMpcj24SNQjyyVe3kvNS2wYe0l4exkWmrcc%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1758522982%26sr%3D8-64-spons%26xpid%3DM_fdxAPTlbuYb%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1&aref=SqceDeNNC8&sp_cr=ZAZ
