title,price,mrp,discount_percentage,link
"iPhone 16 512 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Pink",97999,109900,10.83,https://www.amazon.in/dp/B0DGJ57571
"amazon basics Luxury Paper Thin Case Cover for iPhone 15 | Matte Finish | Compatible with magsafe | (Blue, iPhone 15)",229,799,71.34,https://www.amazon.in/dp/B0DTPRQH42
"iPhone Air 1 TB: Thinnest iPhone Ever, 16.63 cm (6.5″) Display with Promotion up to 120Hz, Powerful A19 Pro Chip, Center S...",159900,,,https://www.amazon.in/dp/B0FQFVRC1B
Apple iPhone 13 (128GB) - Green,43900,,,https://www.amazon.in/dp/B09V4B6K53
"iPhone Air 1 TB: Thinnest iPhone Ever, 16.63 cm (6.5″) Display with Promotion up to 120Hz, Powerful A19 Pro Chip, Center S...",159900,,,https://www.amazon.in/dp/B0FQG8WM6R
"iPhone 16 512 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Ultra...",97999,109900,10.83,https://www.amazon.in/dp/B0DGJ6CMJK
SKYCELL Charger Case Cover with Full Cable Protector 3D Cute Pattern Compatible for iPhone Charger Only 18W & 20W iPhone 1...,52,899,94.22,https://www.amazon.in/dp/B0DMM6XFXJ
"Ambrane USB To Lightning 3A Fast Charging Braided Lightning Cable Compatible For iPhone 14,13, 12,11, X, 8, 7, 6, 5, Ipad,...",178,399,55.39,https://www.amazon.in/dp/B0CZRQCF29
"iPhone 16 256 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Ultra...",78999,89900,12.13,https://www.amazon.in/dp/B0DGJ8N32F
"amazon basics Luxury Paper Thin Case Cover for iPhone 17 | Matte Finish | Compatible with magsafe | (Light Blue, iPhone 17)",299,749,60.08,https://www.amazon.in/dp/B0FPX3BBGV
Sounce Shockproof Superior Drop Protection Cover Scratch Resistant Case Premium Armor Magsafe Designed Shield Strong Megne...,379,699,45.78,https://www.amazon.in/dp/B0CPYH85QN
Apple iPhone 15 (512 GB) - Pink,76999,99900,22.92,https://www.amazon.in/dp/B0CHWWNKS6
"iPhone Air 512 GB: Thinnest iPhone Ever, 16.63 cm (6.5″) Display with Promotion up to 120Hz, Powerful A19 Pro Chip, Center...",139900,,,https://www.amazon.in/dp/B0FQG8LLXS
"Sponsored Ad - Redmi 13 5G Prime Edition, Hawaiian Blue, 8GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | ...",10999,19999,45.0,https://www.amazon.in/dp/B0D78X544X
Apple iPhone 15 (512 GB) - Green,76999,99900,22.92,https://www.amazon.in/dp/B0CHX2XFJJ
"iPhone Air 1 TB: Thinnest iPhone Ever, 16.63 cm (6.5″) Display with Promotion up to 120Hz, Powerful A19 Pro Chip, Center S...",159900,,,https://www.amazon.in/dp/B0FQG1K1FM
Apple iPhone 15 (512 GB) - Yellow,76999,99900,22.92,https://www.amazon.in/dp/B0CHX3QB9M
OnePlus Nord CE5 | Massive 7100mAh Battery | MediaTek Dimensity 8350 Apex | Powered by OnePlus AI | 8GB + 256GB | Nexus Blue,25499,26999,5.56,https://www.amazon.in/dp/B0FCMK41N9
"AILKIN 20W Fast Charger with USB C to Lightning Cable (MFi-Certified, 2 Years Extended Warranty) Compatible with iPhone 1...",699,2999,76.69,https://www.amazon.in/dp/B0F7DPK6VB
"iPhone 16 256 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Pink",79499,89900,11.57,https://www.amazon.in/dp/B0DGJ3NWM4
"iPhone 16 512 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Teal",97999,109900,10.83,https://www.amazon.in/dp/B0DGJBZLD1
"iPhone 16 Pro Max 512 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Wo...",,,,https://www.amazon.in/dp/B0DGHYSLTF
"ZEBRONICS MW63 Wireless Power Bank, 10000 mAh, Rapid Charge, Magsafe, Outputs - 20W Wired | 15W Wireless, Type C PD, Built...",366,3999,90.85,https://www.amazon.in/dp/B0F7L7R2FJ
"iPhone 16 Pro 128 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works ...",,,,https://www.amazon.in/dp/B0DGJBN8TV
Apple iPhone 15 (512 GB) - Blue,76999,99900,22.92,https://www.amazon.in/dp/B0CHXB1PT6
"iPhone Air 512 GB: Thinnest iPhone Ever, 16.63 cm (6.5″) Display with Promotion up to 120Hz, Powerful A19 Pro Chip, Center...",139900,,,https://www.amazon.in/dp/B0FQFJG6WN
"iPhone 16 Plus 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; ...",,,,https://www.amazon.in/dp/B0DGJ6JS1D
Apple iPhone 14 (512 GB) - Yellow,,,,https://www.amazon.in/dp/B0BXQ25XQL
Apple EarPods (USB-C) ​​​​​​​,1549,2000,22.55,https://www.amazon.in/dp/B0DCNWN8NZ
Spigen Ultra Hybrid Back Cover Case Compatible with iPhone 17 (TPU + Poly Carbonate | Crystal Clear),1329,2499,46.82,https://www.amazon.in/dp/B0FD2CC4QZ
Spigen EZ Fit Tempered Glass Screen Protector Guard for iPhone Air [2 Pack],699,2899,75.89,https://www.amazon.in/dp/B0F9YL939H
"iPhone 16 Pro Max 1 TB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Work...",,,,https://www.amazon.in/dp/B0DGJ197P6
"Samsung Galaxy A55 5G (Awesome Navy, 8GB RAM, 128GB Storage) | AI | Metal Frame | 50 MP Main Camera (OIS) | Super HDR Vide...",23999,42999,44.19,https://www.amazon.in/dp/B0CWPDH74H
"iPhone 16 512 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; White",97999,109900,10.83,https://www.amazon.in/dp/B0DGJGVK8T
"iPhone 16 Pro 1 TB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works wi...",,,,https://www.amazon.in/dp/B0DGHXHZNL
OnePlus 13 | Smarter with OnePlus AI | Lifetime Display Warranty |16GB RAM 512GB Storage Midnight Ocean | Official Smartph...,68999,79999,13.75,https://www.amazon.in/dp/B0DQ8MJYXF
"Belkin MagSafe Qi2 Wireless Charger | 3-in-1 Magnetic Foldable Charger with 15W | Fast Charger for iPhone 16, 15, Apple Wa...",11999,15999,25.0,https://www.amazon.in/dp/B0DQCFVQS2
"Google Pixel 9A (Porcelain, 256 GB) (8 GB RAM)",49990,,,https://www.amazon.in/dp/B0FGY7C13L
Prolet Case for iPhone 13 Silicone Case Clear Transparent Shockproof Protective Phone Soft Silicone Slim Cover for iPhone ...,135,999,86.49,https://www.amazon.in/dp/B0CJCF5VM3
