title,price,link,mrp,discount_percentage
"HP Victus Gaming Laptop, AMD Ryzen 5 5600H, AMD 4GB Radeon RX 6500M Graphics, 15.6-inch (39.6 cm), FHD, IPS, 8GB DDR4, 512...","₹46,990",https://www.amazon.in/dp/B0C946F286,63629.0,26.15
"HP 15, Intel Ultra 5 125H (16GB DDR5, 1TB SSD) FHD, IPS, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.65kg, ...","₹60,990",https://www.amazon.in/dp/B0F5B1N9SJ,78719.0,22.52
"Walker Best Student & Office Work Laptop|Thin & Light|15.6"" 1920 * 1080 Resolution FHD IPS Display |8GB RAM,256 GB SSD|Int...","₹16,190",https://www.amazon.in/dp/B0FD7FSXTB,39990.0,59.51
"Primebook 2 Pro 2025 (New Launch) | 8GB RAM, 128GB UFS Storage | 14.1-Inch FHD IPS Display | 14 Hours Battery | MediaTek H...","₹17,490",https://www.amazon.in/dp/B0FFM8M9B5,29990.0,41.68
"HP 255 G10, AMD Ryzen 3 7320U Quad Core -(DOS 16 GB RAM /512 GB SSD/AMD Radeon Graphics) Thin and Light Business Laptop/1...",Up to 5% back with Amazon Pay ICICI card,https://www.amazon.in/dp/B0FGXWXGCR,41534.0,99.99
JioBook 11 with Lifetime Office/Android 4G Laptop Mediatek 8788 (JioOS) / Octa-core/ 4GB RAM / 64 eMMC Storage/Thin and Li...,"₹10,999",https://www.amazon.in/dp/B0CKX9PY1H,25000.0,56.0
"Acer SmartChoice ALG, 13th Gen Intel Core i5-13420H, NVIDIA GeForce RTX 3050-6GB DDR6, 16GB RAM, 512GB SSD, FHD 15.6""/39.6...","₹53,990",https://www.amazon.in/dp/B0DXVGVNKN,74999.0,28.01
"Neopticon BrowseBook 14.1"" FHD IPS Laptop | Celeron N4020 Dual Core up to 2.8GHz | 4GB RAM | 128GB SSD | UHD Graphics | Wi...","₹11,990",https://www.amazon.in/dp/B0FC64RYH1,30000.0,60.03
ULTIMUS APEX Laptop Intel Celeron Dual Core 8 GB LPDDR4 512 GB SSD Expandable~1TB 14.1 FHD IPS Laptop Anti-Glare Ultra Thi...,"₹16,990",https://www.amazon.in/dp/B0F5WTFC3D,39990.0,57.51
"ASUS Vivobook 15,Smartchoice,13th Gen,Intel Core i5-13420H(Intel UHD iGPU/16GB RAM/512GB SSD/FHD/15.6""/60Hz/Windows 11/M36...","₹46,990",https://www.amazon.in/dp/B0DTYKLHYC,69990.0,32.86
