title,price,mrp,discount_percentage,link
Sponsored Ad - TOZO T6 True Wireless Earbuds Bluetooth 5.3 Headphones Touch Control with Wireless Charging Case IPX8 Water...,1311,9999,86.89,https://www.amazon.in/dp/B07RJ3M2CM
"OnePlus Buds 3 TWS in Ear Earbuds with Upto 49dB Smart Adaptive Noise Cancellation,Hi-Res Sound Quality,Sliding Volume Con...",5449,,,https://www.amazon.in/dp/B0CRH6CYS6
"iPhonee Headphones (Pro Generation) Bluetooth,Wireless Earbuds,H2 Chip|Spatial Audio,Water & Sweat Resistant,60 Hours of B...",4444,22999,80.68,https://www.amazon.in/dp/B0FPYMJGFJ
"Noise Master Buds, Sound by Bose in-Ear Bluetooth Earbuds, Up to 49dB Adaptive ANC, LHDC 5.0, Immersive Spatial Audio, 44H...",4999,7999,37.5,https://www.amazon.in/dp/B0DK96DPY6
"Scalebee Silicone Ear Tips Ear Hooks Compatible with Apple AirPods/EarPods,Silicone Soft Covers Anti-Slip Sport Earbud Tip...",179,999,82.08,https://www.amazon.in/dp/B0FKNFHR6K
iPhone Earbuds Wired with Mic – Apple MFi Certified Lightning Headphones for iPhone 7/8/XR/11/13/14,429,1599,73.17,https://www.amazon.in/dp/B0FJG93CBJ
"boAt Nirvana Space, 360 Spatial Audio, Active Noise Cancellation (~32dB), 100Hrs Battery,4Mics ENx, Fast Charge, v5.3 Blue...",1649,7990,79.36,https://www.amazon.in/dp/B0D4VNVP7K
"Noise Buds N1 Pro Truly Wireless Earbuds with Metallic Finish, ANC(Upto 30Db), 60H of Playtime, Dual Pairing, Instacharge(...",1299,4999,74.01,https://www.amazon.in/dp/B0D4QLT8WG
"JBL Wave Beam 2 Ear Buds Wireless BluetoothV5.3, Active Noise Cancellation Earbuds,Multi Connect, App for Customized Extra...",2991,7499,60.11,https://www.amazon.in/dp/B0DHL93XCN
"Sponsored Ad - Noise Buds N1 Truly Wireless Earbuds with Chrome Finish, 40H of Playtime, Quad Mic with ENC, Ultra Low Late...",799,3499,77.16,https://www.amazon.in/dp/B0CQJXC3SP
"Sponsored Ad - Spigen Audio Newly Launched SA-TW P20 True Wireless in Ear Earbuds with 30H Playtime, Upto 40dB 3 Multi-Mod...",2699,4299,37.22,https://www.amazon.in/dp/B0DGX3GMJY
"Sponsored Ad - Skullcandy Dime Evo True Wireless Earbuds – 36Hr Battery, Rapid Charge, Preset EQ Modes (Music/Bass/Podcas...",3699,19999,81.5,https://www.amazon.in/dp/B0D443MHVZ
"Sponsored Ad - Noise Buds N1 Pro Truly Wireless Earbuds with Metallic Finish, ANC(Upto 30Db), 60H of Playtime, Dual Pairin...",1299,4999,74.01,https://www.amazon.in/dp/B0D5R2D9WR
"Mivi SuperPods Immersio[Flagship Launch] | Dolby Audio, 3D Soundstage, 60H Battery, AI-ENC Mic, BT 5.4 | Ear Buds Wireless...",1799,6499,72.32,https://www.amazon.in/dp/B0DCFTKL92
